Alpha,Beta,SumResidualSquare,Method
0.269,7.0E-11,13080.043223820507,4thOrderRungeKutta
0.259,8.000000000000001E-11,14527.297589073263,4thOrderRungeKutta
0.33,7.0E-11,6553.807660363251,4thOrderRungeKutta
0.25,7.0E-11,16431.48369121723,4thOrderRungeKutta
0.23900000000000002,7.0E-11,18800.815218060758,4thOrderRungeKutta
0.339,7.0E-11,5956.6096089527155,4thOrderRungeKutta
0.27,7.0E-11,12925.991736089149,4thOrderRungeKutta
0.26,8.000000000000001E-11,14354.312958898223,4thOrderRungeKutta
0.34,7.0E-11,5894.448999041483,4thOrderRungeKutta
0.24000000000000002,7.0E-11,18570.479449763345,4thOrderRungeKutta
0.299,7.0E-11,9232.768069439799,4thOrderRungeKutta
0.20900000000000002,8.000000000000001E-11,26999.099216599006,4thOrderRungeKutta
0.219,8.000000000000001E-11,23769.905969298292,4thOrderRungeKutta
0.3,7.0E-11,9128.591678349136,4thOrderRungeKutta
0.21000000000000002,8.000000000000001E-11,26655.130649513347,4thOrderRungeKutta
0.309,7.0E-11,8249.152896384994,4thOrderRungeKutta
0.22,8.000000000000001E-11,23471.387663632322,4thOrderRungeKutta
0.319,8.000000000000001E-11,7290.733136746371,4thOrderRungeKutta
0.31,7.0E-11,8157.593724103767,4thOrderRungeKutta
0.279,7.0E-11,11627.015946591333,4thOrderRungeKutta
0.28900000000000003,7.0E-11,10352.205148578589,4thOrderRungeKutta
0.28,7.0E-11,11491.920548893078,4thOrderRungeKutta
0.32,8.000000000000001E-11,7211.4846243317015,4thOrderRungeKutta
0.34900000000000003,7.0E-11,5369.9049132233,4thOrderRungeKutta
0.29000000000000004,7.0E-11,10233.61611230055,4thOrderRungeKutta
0.35000000000000003,7.0E-11,5315.329197241647,4thOrderRungeKutta
0.339,8.000000000000001E-11,5884.681905620108,4thOrderRungeKutta
0.359,7.0E-11,4855.0289012644025,4thOrderRungeKutta
0.34,8.000000000000001E-11,5823.4739997146935,4thOrderRungeKutta
0.23700000000000002,4.9999999999999995E-11,19861.56172690423,4thOrderRungeKutta
0.36,7.0E-11,4807.16665788975,4thOrderRungeKutta
0.23800000000000002,4.9999999999999995E-11,19616.408932942653,4thOrderRungeKutta
0.329,8.000000000000001E-11,6542.389443595102,4thOrderRungeKutta
0.259,9.000000000000001E-11,14320.137033518247,4thOrderRungeKutta
0.33,8.000000000000001E-11,6472.727428928015,4thOrderRungeKutta
0.249,8.000000000000001E-11,16390.261162734292,4thOrderRungeKutta
0.269,8.000000000000001E-11,12896.397361403395,4thOrderRungeKutta
0.26,9.000000000000001E-11,14149.995004225357,4thOrderRungeKutta
0.219,9.000000000000001E-11,23403.68742944104,4thOrderRungeKutta
0.23900000000000002,8.000000000000001E-11,18521.63107906613,4thOrderRungeKutta
0.25,8.000000000000001E-11,16192.534491313474,4thOrderRungeKutta
0.27,8.000000000000001E-11,12744.84235044722,4thOrderRungeKutta
0.22,9.000000000000001E-11,23110.519832837726,4thOrderRungeKutta
0.20900000000000002,9.000000000000001E-11,26574.135397909864,4thOrderRungeKutta
0.24000000000000002,8.000000000000001E-11,18295.24758440892,4thOrderRungeKutta
0.299,8.000000000000001E-11,9110.30830940917,4thOrderRungeKutta
0.21000000000000002,9.000000000000001E-11,26236.49855541314,4thOrderRungeKutta
0.309,8.000000000000001E-11,8141.977362940608,4thOrderRungeKutta
0.3,8.000000000000001E-11,9007.756852550781,4thOrderRungeKutta
0.31,8.000000000000001E-11,8051.834659049622,4thOrderRungeKutta
0.279,8.000000000000001E-11,11466.759434514188,4thOrderRungeKutta
0.319,9.000000000000001E-11,7198.382470790839,4thOrderRungeKutta
0.28900000000000003,8.000000000000001E-11,10212.18431940869,4thOrderRungeKutta
0.28,8.000000000000001E-11,11333.820899005017,4thOrderRungeKutta
0.32,9.000000000000001E-11,7120.351552040973,4thOrderRungeKutta
0.29000000000000004,8.000000000000001E-11,10095.464602898353,4thOrderRungeKutta
0.34900000000000003,8.000000000000001E-11,5306.977086748927,4thOrderRungeKutta
0.35000000000000003,8.000000000000001E-11,5253.239947431682,4thOrderRungeKutta
0.339,9.000000000000001E-11,5813.886302353508,4thOrderRungeKutta
0.359,8.000000000000001E-11,4800.030141477268,4thOrderRungeKutta
0.259,1.0000000000000002E-10,14116.510876712518,4thOrderRungeKutta
0.34,9.000000000000001E-11,5753.616108155684,4thOrderRungeKutta
0.36,8.000000000000001E-11,4752.9075518999025,4thOrderRungeKutta
0.26,1.0000000000000002E-10,13949.156237388412,4thOrderRungeKutta
0.329,9.000000000000001E-11,6461.519749871634,4thOrderRungeKutta
0.249,9.000000000000001E-11,16152.168269753502,4thOrderRungeKutta
0.33,9.000000000000001E-11,6392.925022568058,4thOrderRungeKutta
0.219,1.0000000000000002E-10,23044.334218536922,4thOrderRungeKutta
0.269,9.000000000000001E-11,12715.836941135609,4thOrderRungeKutta
0.25,9.000000000000001E-11,15957.752234899825,4thOrderRungeKutta
0.22,1.0000000000000002E-10,22756.398398149915,4thOrderRungeKutta
0.27,9.000000000000001E-11,12566.731154416933,4thOrderRungeKutta
0.23900000000000002,9.000000000000001E-11,18247.438983889493,4thOrderRungeKutta
